,CIN,Document Name,Date of Filling
0,U85110RJ2007PTC025459,Certificate of Incorporation-101207.PDF,10/12/2007
1,U85110RJ2007PTC025459,Certificate of Incorporation-101207.PDF,10/12/2007
2,U85110RJ2007PTC025459,Fresh Certificate of Incorporation Consequent upon  Change of Name-090710.PDF,12/07/2010
3,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-140910.PDF,15/09/2010
4,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-300611.PDF,30/06/2011
5,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-170812.PDF,17/08/2012
6,U85110RJ2007PTC025459,Fresh Certificate of Incorporation Consequent upon Change of Name on Conversion to Private Limited Company-291012.PDF,30/10/2012
7,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
8,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
9,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
10,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
11,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
12,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
13,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
14,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
15,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
16,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
17,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
18,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
19,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
20,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
21,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
22,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
23,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
24,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
25,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
26,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
27,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
28,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
29,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
30,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
31,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
32,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
33,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
34,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
35,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
36,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
37,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
38,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
39,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
40,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
41,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
42,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
43,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
44,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
45,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
46,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
47,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
48,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
49,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
50,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
51,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
52,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
53,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
54,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
55,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
56,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
57,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
58,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
59,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
60,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
61,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
62,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
63,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
64,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
65,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
66,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
67,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
68,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
69,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
70,U85110RJ2007PTC025459,Fresh Certificate of Incorporation Consequent upon  Change of Name-090710.PDF,12/07/2010
71,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-140910.PDF,15/09/2010
72,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-300611.PDF,30/06/2011
73,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-170812.PDF,17/08/2012
74,U85110RJ2007PTC025459,Fresh Certificate of Incorporation Consequent upon Change of Name on Conversion to Private Limited Company-291012.PDF,30/10/2012
75,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
76,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
77,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
78,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
